date,ticker,open,high,low,close,volume,close_usd,usdcad,fx_series,daily_return,extreme_move,company_name,sector,in_portfolio
2015-10-12,NVDA,0.821233,0.833902,0.815302,0.829156,234078160,0.640473,1.2946,IEXE0101 (noon),0.010808372648697384,False,NVIDIA Corporation,Technology,True
2015-10-13,NVDA,0.825003,0.838359,0.822214,0.833303,306949258,0.641693,1.2986,IEXE0101 (noon),0.005001471375712274,False,NVIDIA Corporation,Technology,True
2015-10-14,NVDA,0.833953,0.876624,0.833046,0.863299,629642970,0.664997,1.2982,IEXE0101 (noon),0.035996510272974014,False,NVIDIA Corporation,Technology,True
2015-10-15,NVDA,0.859697,0.87802,0.850938,0.860265,541042821,0.666665,1.2904,IEXE0101 (noon),-0.0035144254771523054,False,NVIDIA Corporation,Technology,True
2015-10-16,NVDA,0.865039,0.884075,0.862844,0.875834,461176679,0.677209,1.2933,IEXE0101 (noon),0.018097911690002633,False,NVIDIA Corporation,Technology,True
2015-10-19,NVDA,0.883118,0.887116,0.868452,0.878652,303114163,0.67599,1.2998,IEXE0101 (noon),0.003217504686961137,False,NVIDIA Corporation,Technology,True
2015-10-20,NVDA,0.873263,0.879879,0.866563,0.875759,272375333,0.675011,1.2974,IEXE0101 (noon),-0.0032925435781174794,False,NVIDIA Corporation,Technology,True
2015-10-21,NVDA,0.89082,0.896244,0.87221,0.873821,397705089,0.666225,1.3116,IEXE0101 (noon),-0.002212937577575569,False,NVIDIA Corporation,Technology,True
2015-10-22,NVDA,0.882225,0.906324,0.880936,0.903517,315629854,0.69034,1.3088,IEXE0101 (noon),0.03398407683038074,False,NVIDIA Corporation,Technology,True
2015-10-23,NVDA,0.917261,0.921442,0.903594,0.915313,392657336,0.694893,1.3172,IEXE0101 (noon),0.013055648095166017,False,NVIDIA Corporation,Technology,True
2015-10-26,NVDA,0.913329,0.915559,0.900396,0.908527,254490931,0.691737,1.3134,IEXE0101 (noon),-0.007413857336233676,False,NVIDIA Corporation,Technology,True
2015-10-27,NVDA,0.911473,0.921073,0.910814,0.915334,214202039,0.691288,1.3241,IEXE0101 (noon),0.007492347503156305,False,NVIDIA Corporation,Technology,True
2015-10-28,NVDA,0.914604,0.916221,0.901356,0.916221,223220088,0.696852,1.3148,IEXE0101 (noon),0.0009690451791368737,False,NVIDIA Corporation,Technology,True
2015-10-29,NVDA,0.903167,0.912332,0.884481,0.886126,336492205,0.672837,1.317,IEXE0101 (noon),-0.032846878646090816,False,NVIDIA Corporation,Technology,True
2015-10-30,NVDA,0.889886,0.908514,0.883117,0.902191,309742691,0.68959,1.3083,IEXE0101 (noon),0.018129475943601703,False,NVIDIA Corporation,Technology,True
2015-11-02,NVDA,0.90583,0.914446,0.90047,0.913465,195507830,0.697568,1.3095,IEXE0101 (noon),0.012496245251836902,False,NVIDIA Corporation,Technology,True
2015-11-03,NVDA,0.908867,0.913906,0.897825,0.907898,387511728,0.692735,1.3106,IEXE0101 (noon),-0.006094376905519061,False,NVIDIA Corporation,Technology,True
2015-11-04,NVDA,0.909381,0.916046,0.892764,0.897025,454870731,0.681423,1.3164,IEXE0101 (noon),-0.011976014926786904,False,NVIDIA Corporation,Technology,True
2015-11-05,NVDA,0.901675,0.904173,0.88428,0.886909,492447571,0.673585,1.3167,IEXE0101 (noon),-0.011277277667846475,False,NVIDIA Corporation,Technology,True
2015-11-06,NVDA,0.984998,1.033197,0.96464,1.020587,1205692110,0.766897,1.3308,IEXE0101 (noon),0.15072346768383227,False,NVIDIA Corporation,Technology,True
2015-11-09,NVDA,1.008032,1.016423,0.999311,1.01352,506613232,0.76348,1.3275,IEXE0101 (noon),-0.006924446421520125,False,NVIDIA Corporation,Technology,True
2015-11-10,NVDA,0.999115,1.004595,0.971669,0.99294,568002178,0.74888,1.3259,IEXE0101 (noon),-0.020305470044991614,False,NVIDIA Corporation,Technology,True
2015-11-11,NVDA,0.993603,1.00073,0.979702,0.983252,637805194,0.741573,1.3259,IEXE0101 (noon),-0.00975688359820337,False,NVIDIA Corporation,Technology,True
2015-11-12,NVDA,0.984578,0.993655,0.979077,0.983249,299379347,0.738896,1.3307,IEXE0101 (noon),-3.0510998197952333e-06,False,NVIDIA Corporation,Technology,True
2015-11-13,NVDA,0.986108,0.990237,0.960829,0.965717,301292488,0.72436,1.3332,IEXE0101 (noon),-0.017830681749994137,False,NVIDIA Corporation,Technology,True
2015-11-16,NVDA,0.97985,0.987314,0.972171,0.986648,354096310,0.738896,1.3353,IEXE0101 (noon),0.021674051507843295,False,NVIDIA Corporation,Technology,True
2015-11-17,NVDA,0.987114,0.992927,0.980328,0.984505,264376994,0.738896,1.3324,IEXE0101 (noon),-0.002172000551361797,False,NVIDIA Corporation,Technology,True
2015-11-18,NVDA,0.99073,1.01233,0.979983,1.010996,358834791,0.75713,1.3353,IEXE0101 (noon),0.02690793850716866,False,NVIDIA Corporation,Technology,True
2015-11-19,NVDA,1.00802,1.017402,0.999942,1.007358,260327649,0.759296,1.3267,IEXE0101 (noon),-0.003598431645624789,False,NVIDIA Corporation,Technology,True
2015-11-20,NVDA,1.020274,1.027441,1.014081,1.021553,245642764,0.765897,1.3338,IEXE0101 (noon),0.01409131609616443,False,NVIDIA Corporation,Technology,True
2015-11-23,NVDA,1.031438,1.031438,1.004096,1.007699,248520022,0.754435,1.3357,IEXE0101 (noon),-0.013561704581162237,False,NVIDIA Corporation,Technology,True
2015-11-24,NVDA,1.004002,1.020879,0.999483,1.012133,173283189,0.760545,1.3308,IEXE0101 (noon),0.004400123449561866,False,NVIDIA Corporation,Technology,True
2015-11-25,NVDA,1.009634,1.021639,1.006713,1.010272,141701023,0.759546,1.3301,IEXE0101 (noon),-0.0018386911601537825,False,NVIDIA Corporation,Technology,True
2015-11-27,NVDA,1.016755,1.02649,1.011526,1.023238,89150288,0.765897,1.336,IEXE0101 (noon),0.012834167432137056,False,NVIDIA Corporation,Technology,True
2015-11-30,NVDA,1.02213,1.036467,1.02117,1.031874,335297154,0.773925,1.3333,IEXE0101 (noon),0.008439874203264308,False,NVIDIA Corporation,Technology,True
2015-12-01,NVDA,1.044064,1.069487,1.043128,1.068484,419579738,0.799046,1.3372,IEXE0101 (noon),0.03547913795676605,False,NVIDIA Corporation,Technology,True
2015-12-02,NVDA,1.069169,1.080254,1.057229,1.059362,301476612,0.792936,1.336,IEXE0101 (noon),-0.008537329524822113,False,NVIDIA Corporation,Technology,True
2015-12-03,NVDA,1.070577,1.081705,1.054636,1.059919,252723056,0.791339,1.3394,IEXE0101 (noon),0.0005257881630642558,False,NVIDIA Corporation,Technology,True
2015-12-04,NVDA,1.057625,1.10257,1.057625,1.100569,470051335,0.823471,1.3365,IEXE0101 (noon),0.038351987274499066,False,NVIDIA Corporation,Technology,True
2015-12-07,NVDA,1.112034,1.112034,1.087987,1.091236,341797241,0.807844,1.3508,IEXE0101 (noon),-0.008480158899623613,False,NVIDIA Corporation,Technology,True
2015-12-08,NVDA,1.084516,1.117672,1.077525,1.113007,322232414,0.818809,1.3593,IEXE0101 (noon),0.019950771418831392,False,NVIDIA Corporation,Technology,True
2015-12-09,NVDA,1.112832,1.119509,1.073804,1.084975,381847767,0.798069,1.3595,IEXE0101 (noon),-0.025185825426075503,False,NVIDIA Corporation,Technology,True
2015-12-10,NVDA,1.088635,1.100218,1.084995,1.094298,242421364,0.80469,1.3599,IEXE0101 (noon),0.008592824719463543,False,NVIDIA Corporation,Technology,True
2015-12-11,NVDA,1.091026,1.098723,1.083462,1.08569,232916969,0.792706,1.3696,IEXE0101 (noon),-0.007866230222480453,False,NVIDIA Corporation,Technology,True
2015-12-14,NVDA,1.089626,1.09733,1.078286,1.0913,283119275,0.794655,1.3733,IEXE0101 (noon),0.005167220845729403,False,NVIDIA Corporation,Technology,True
2015-12-15,NVDA,1.103306,1.111997,1.097274,1.104335,314858084,0.80444,1.3728,IEXE0101 (noon),0.011944469898286458,False,NVIDIA Corporation,Technology,True
2015-12-16,NVDA,1.112886,1.120963,1.103083,1.117241,242171381,0.809302,1.3805,IEXE0101 (noon),0.011686671164094165,False,NVIDIA Corporation,Technology,True
2015-12-17,NVDA,1.132295,1.143876,1.112853,1.11355,260417723,0.797101,1.397,IEXE0101 (noon),-0.003303673961123743,False,NVIDIA Corporation,Technology,True
2015-12-18,NVDA,1.098839,1.10993,1.08721,1.088599,405643529,0.78418,1.3882,IEXE0101 (noon),-0.02240671725562382,False,NVIDIA Corporation,Technology,True
2015-12-21,NVDA,1.108996,1.124013,1.099134,1.123007,291209762,0.802721,1.399,IEXE0101 (noon),0.03160759839022442,False,NVIDIA Corporation,Technology,True
2015-12-22,NVDA,1.121548,1.130337,1.112325,1.119112,133207595,0.80344,1.3929,IEXE0101 (noon),-0.003468366626387942,False,NVIDIA Corporation,Technology,True
2015-12-23,NVDA,1.1153,1.122384,1.113223,1.118024,125540669,0.806655,1.386,IEXE0101 (noon),-0.0009721993866567136,False,NVIDIA Corporation,Technology,True
2015-12-24,NVDA,1.113401,1.12316,1.1117,1.120479,53740588,0.809302,1.3845,IEXE0101 (noon),0.002195838371984893,False,NVIDIA Corporation,Technology,True
2015-12-28,NVDA,1.108659,1.119469,1.093232,1.119469,145525062,0.808573,1.3845,IEXE0101 (noon),-0.0009014002047338376,False,NVIDIA Corporation,Technology,True
2015-12-29,NVDA,1.120525,1.141531,1.117562,1.138115,208674942,0.821744,1.385,IEXE0101 (noon),0.016656111066943202,False,NVIDIA Corporation,Technology,True
2015-12-30,NVDA,1.139868,1.149781,1.130762,1.131123,163093734,0.814695,1.3884,IEXE0101 (noon),-0.006143491650667854,False,NVIDIA Corporation,Technology,True
2015-12-31,NVDA,1.125837,1.130854,1.112999,1.112999,138162850,0.80419,1.384,IEXE0101 (noon),-0.01602301429641162,False,NVIDIA Corporation,Technology,True
2016-01-04,NVDA,1.100609,1.110359,1.092003,1.103344,334396382,0.789852,1.3969,IEXE0101 (noon),-0.008674760714070695,False,NVIDIA Corporation,Technology,True
2016-01-05,NVDA,1.126003,1.141748,1.109555,1.122885,409964669,0.802462,1.3993,IEXE0101 (noon),0.01771070491161386,False,NVIDIA Corporation,Technology,True
2016-01-06,NVDA,1.11178,1.116771,1.070799,1.083526,402251715,0.769331,1.4084,IEXE0101 (noon),-0.03505167492663974,False,NVIDIA Corporation,Technology,True
2016-01-07,NVDA,1.054631,1.061963,1.025192,1.038794,586979770,0.738777,1.4061,IEXE0101 (noon),-0.041283734769631764,False,NVIDIA Corporation,Technology,True
2016-01-08,NVDA,1.05898,1.059995,1.020799,1.023061,378002116,0.72296,1.4151,IEXE0101 (noon),-0.01514544750932334,False,NVIDIA Corporation,Technology,True
2016-01-11,NVDA,1.028002,1.036002,1.010312,1.028712,419483895,0.72419,1.4205,IEXE0101 (noon),0.005523619803706747,False,NVIDIA Corporation,Technology,True
2016-01-12,NVDA,1.05336,1.067703,1.045028,1.052332,449925952,0.73636,1.4291,IEXE0101 (noon),0.022960750919596595,False,NVIDIA Corporation,Technology,True
2016-01-13,NVDA,1.060548,1.06757,1.019498,1.020497,464089740,0.713934,1.4294,IEXE0101 (noon),-0.030251859679264803,False,NVIDIA Corporation,Technology,True
2016-01-14,NVDA,1.005056,1.017041,0.975677,1.005414,559394681,0.699516,1.4373,IEXE0101 (noon),-0.014780053248564129,False,NVIDIA Corporation,Technology,True
2016-01-15,NVDA,0.975494,0.987303,0.944291,0.96093,798563047,0.661433,1.4528,IEXE0101 (noon),-0.04424446049090236,False,NVIDIA Corporation,Technology,True
2016-01-19,NVDA,0.979885,1.007452,0.963914,0.967743,468395517,0.666765,1.4514,IEXE0101 (noon),0.007090006556148776,False,NVIDIA Corporation,Technology,True
2016-01-20,NVDA,0.954431,0.990719,0.941526,0.978136,451220501,0.670461,1.4589,IEXE0101 (noon),0.01073942151996965,False,NVIDIA Corporation,Technology,True
2016-01-21,NVDA,0.965429,0.981046,0.945547,0.96614,379668439,0.678326,1.4243,IEXE0101 (noon),-0.01226414322752667,False,NVIDIA Corporation,Technology,True
2016-01-22,NVDA,0.978171,0.988853,0.976094,0.982255,227333609,0.694124,1.4151,IEXE0101 (noon),0.01667977725795433,False,NVIDIA Corporation,Technology,True
2016-01-25,NVDA,0.988938,1.000264,0.985963,0.988268,250308688,0.693424,1.4252,IEXE0101 (noon),0.006121628294078363,False,NVIDIA Corporation,Technology,True
2016-01-26,NVDA,0.97713,0.988785,0.967007,0.984711,196272018,0.700264,1.4062,IEXE0101 (noon),-0.003599226120849841,False,NVIDIA Corporation,Technology,True
2016-01-27,NVDA,0.981981,0.984895,0.953107,0.971687,207306162,0.691937,1.4043,IEXE0101 (noon),-0.01322621561046844,False,NVIDIA Corporation,Technology,True
2016-01-28,NVDA,0.981661,0.985133,0.944242,0.963267,261016766,0.684479,1.4073,IEXE0101 (noon),-0.008665341823035577,False,NVIDIA Corporation,Technology,True
2016-01-29,NVDA,0.9719,1.008031,0.968104,1.006231,290991607,0.714653,1.408,IEXE0101 (noon),0.04460237919496901,False,NVIDIA Corporation,Technology,True
2016-02-01,NVDA,0.999936,1.006342,0.991378,1.001307,271077810,0.714913,1.4006,IEXE0101 (noon),-0.004893508548236114,False,NVIDIA Corporation,Technology,True
2016-02-02,NVDA,0.993477,0.998577,0.954474,0.961345,317314815,0.684719,1.404,IEXE0101 (noon),-0.039909837841940576,False,NVIDIA Corporation,Technology,True
2016-02-03,NVDA,0.955388,0.961084,0.930752,0.952664,272900476,0.688043,1.3846,IEXE0101 (noon),-0.00903005684743774,False,NVIDIA Corporation,Technology,True
