date,portfolio_value,value_AAPL,value_MSFT,value_NVDA,value_AMZN,value_TSLA,value_RY,value_TD,profit_loss_cad,profit_loss_status,profit_loss_AAPL,profit_loss_MSFT,profit_loss_NVDA,profit_loss_AMZN,profit_loss_TSLA,profit_loss_RY,profit_loss_TD,portfolio_daily_return,portfolio_drawdown_pct
2019-11-12,1304163.2314,195983.6024,185213.4463,414115.0032,230236.9911,221481.0907,28800.5923,28332.5054,1204163.2314,Profit,175983.6024,165213.4463,399115.0032,215236.9911,211481.0907,18800.5923,18332.5054,0.0063,-4.1379
2019-11-13,1300636.5088,198183.2445,185819.7711,412723.4505,227374.3263,219410.7633,28815.023,28309.9301,1200636.5088,Profit,178183.2445,165819.7711,397723.4505,212374.3263,209410.7633,18815.023,18309.9301,-0.0027,-4.3972
2019-11-14,1305726.5225,196947.8851,186890.1282,415412.3608,227722.1617,221615.1455,28854.1674,28284.6737,1205726.5225,Profit,176947.8851,166890.1282,400412.3608,212722.1617,211615.1455,18854.1674,18284.6737,0.0039,-4.023
2019-11-15,1296908.2809,198867.3654,188911.9572,403501.4649,225301.3345,222949.0903,28969.1073,28407.9613,1196908.2809,Profit,178867.3654,168911.9572,388501.4649,210301.3345,212949.0903,18969.1073,18407.9613,-0.0068,-4.6712
2019-11-18,1313067.8278,199625.6962,189144.3484,418945.0639,226698.6433,221284.6235,28963.4926,28405.9598,1213067.8278,Profit,179625.6962,169144.3484,403945.0639,211698.6433,211284.6235,18963.4926,18405.9598,0.0125,-3.4834
2019-11-19,1312260.7757,199363.4815,189525.1305,411223.5946,227126.9208,227705.3867,28890.4892,28425.7725,1212260.7757,Profit,179363.4815,169525.1305,396223.5946,212126.9208,217705.3867,18890.4892,18425.7725,-0.0006,-3.5427
2019-11-20,1316674.3388,198047.0093,190161.5362,419606.0499,227331.0266,224210.6895,28969.9505,28348.0769,1216674.3388,Profit,178047.0093,170161.5362,404606.0499,212331.0266,214210.6895,18969.9505,18348.0769,0.0034,-3.2183
2019-11-21,1312407.0903,196865.5076,189708.1786,417029.5853,225599.2231,225549.5435,29062.2866,28592.7656,1212407.0903,Profit,176865.5076,169708.1786,402029.5853,210599.2231,215549.5435,19062.2866,18592.7656,-0.0032,-3.532
2019-11-22,1301475.1345,196723.9908,189880.0605,418496.3018,227065.2525,211731.0995,29070.5844,28507.845,1201475.1345,Profit,176723.9908,169880.0605,403496.3018,212065.2525,201731.0995,19070.5844,18507.845,-0.0083,-4.3355
2019-11-25,1335413.4715,200475.2079,192268.4461,439618.4972,231070.1027,214150.9469,29121.7984,28708.4722,1235413.4715,Profit,180475.2079,172268.4461,424618.4972,216070.1027,204150.9469,19121.7984,18708.4722,0.0261,-1.8409
2019-11-26,1322618.0197,198629.1256,192990.6209,430675.0742,233745.0137,209127.2229,28945.3575,28505.6049,1222618.0197,Profit,178629.1256,172990.6209,415675.0742,218745.0137,199127.2229,18945.3575,18505.6049,-0.0096,-2.7814
2019-11-27,1331559.5989,201149.2842,193208.7527,433096.3483,236372.809,210323.0793,28954.8941,28454.4313,1231559.5989,Profit,181149.2842,173208.7527,418096.3483,221372.809,200323.0793,18954.8941,18454.4313,0.0068,-2.1242
2019-11-29,1324986.7279,200870.6686,192200.8236,430508.8372,234264.7481,209791.5254,28916.15,28433.975,1224986.7279,Profit,180870.6686,172200.8236,415508.8372,219264.7481,199791.5254,18916.15,18433.975,-0.0049,-2.6073
2019-12-02,1306443.6537,198666.003,189971.1731,415860.8227,231906.5584,213054.7595,28759.7105,28224.6265,1206443.6537,Profit,178666.003,169971.1731,400860.8227,216906.5584,203054.7595,18759.7105,18224.6265,-0.014,-3.9703
